CNAE 2.0 Classe,Atividade Nome
73122,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação"
73190,Atividades de publicidade não especificadas anteriormente
73203,Pesquisas de mercado e de opinião pública
74102,Design e decoração de interiores
74200,Atividades fotográficas e similares
74901,"Atividades profissionais, científicas e técnicas não especificadas anteriormente"
75001,Atividades veterinárias
77110,Locação de automóveis sem condutor
77195,"Locação de meios de transporte, exceto automóveis, sem condutor"
77217,Aluguel de equipamentos recreativos e esportivos
77225,"Aluguel de fitas de vídeo, DVDs e similares"
77233,"Aluguel de objetos do vestuário, joias e acessórios"
77292,Aluguel de objetos pessoais e domésticos não especificados anteriormente
77314,Aluguel de máquinas e equipamentos agrícolas sem operador
77322,Aluguel de máquinas e equipamentos para construção sem operador
77331,Aluguel de máquinas e equipamentos para escritório
77390,Aluguel de máquinas e equipamentos não especificados anteriormente
77403,Gestão de ativos intangíveis não financeiros
78108,Seleção e agenciamento de mão de obra
78205,Locação de mão de obra temporária
78302,Fornecimento e gestão de recursos humanos para terceiros
79112,Agências de viagens
79121,Operadores turísticos
79902,Serviços de reservas e outros serviços de turismo não especificados anteriormente
80111,Atividades de vigilância e segurança privada
80129,Atividades de transporte de valores
80200,Atividades de monitoramento de sistemas de segurança
80307,Atividades de investigação particular
81117,"Serviços combinados para apoio a edifícios, exceto condomínios prediais"
81125,Condomínios prediais
81214,Limpeza em prédios e em domicílios
81222,Imunização e controle de pragas urbanas
81290,Atividades de limpeza não especificadas anteriormente
81303,Atividades paisagísticas
82113,Serviços combinados de escritório e apoio administrativo
82199,"Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo"
82202,Atividades de teleatendimento
82300,"Atividades de organização de eventos, exceto culturais e esportivos"
82911,Atividades de cobrança e informações cadastrais
82920,Envasamento e empacotamento sob contrato
82997,Atividades de serviços prestados principalmente às empresas não especificadas anteriormente
84116,Administração pública em geral
84124,"Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais"
84132,Regulação das atividades econômicas
84213,Relações exteriores
84221,Defesa
84230,Justiça
84248,Segurança e ordem pública
84256,Defesa Civil
84302,Seguridade social obrigatória
85112,Educação infantil - creche
85121,Educação infantil - pré-escola
85139,Ensino fundamental
85201,Ensino médio
85317,Educação superior - graduação
85325,Educação superior - graduação e pós-graduação
85333,Educação superior - pós-graduação e extensão
85414,Educação profissional de nível técnico
85422,Educação profissional de nível tecnológico
85503,Atividades de apoio à educação
85911,Ensino de esportes
85929,Ensino de arte e cultura
85937,Ensino de idiomas
85996,Atividades de ensino não especificadas anteriormente
86101,Atividades de atendimento hospitalar
86216,Serviços móveis de atendimento a urgências
86224,"Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências"
86305,Atividades de atenção ambulatorial executadas por médicos e odontólogos
86402,Atividades de serviços de complementação diagnóstica e terapêutica
86500,"Atividades de profissionais da área de saúde, exceto médicos e odontólogos"
86607,Atividades de apoio à gestão de saúde
86909,Atividades de atenção à saúde humana não especificadas anteriormente
87115,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares"
87123,Atividades de fornecimento de infraestrutura de apoio e assistência a paciente no domicílio
87204,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química"
87301,Atividades de assistência social prestadas em residências coletivas e particulares
88006,Serviços de assistência social sem alojamento
90019,"Artes cênicas, espetáculos e atividades complementares"
90027,Criação artística
90035,"Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas"
91015,Atividades de bibliotecas e arquivos
91023,"Atividades de museus e de exploração, restauração artística e conservação de lugares e prédios históricos e atrações similares"
91031,"Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental"
92003,Atividades de exploração de jogos de azar e apostas
93115,Gestão de instalações de esportes
93123,"Clubes sociais, esportivos e similares"
93131,Atividades de condicionamento físico
93191,Atividades esportivas não especificadas anteriormente
93212,Parques de diversão e parques temáticos
93298,Atividades de recreação e lazer não especificadas anteriormente
94111,Atividades de organizações associativas patronais e empresariais
94120,Atividades de organizações associativas profissionais
94201,Atividades de organizações sindicais
94308,Atividades de associações de defesa de direitos sociais
94910,Atividades de organizações religiosas
94928,Atividades de organizações políticas
94936,Atividades de organizações associativas ligadas à cultura e à arte
94995,Atividades associativas não especificadas anteriormente
95118,Reparação e manutenção de computadores e de equipamentos periféricos
95126,Reparação e manutenção de equipamentos de comunicação
95215,Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico
95291,Reparação e manutenção de objetos e equipamentos pessoais e domésticos não especificados anteriormente
96017,"Lavanderias, tinturarias e toalheiros"
96025,Cabeleireiros e outras atividades de tratamento de beleza
96033,Atividades funerárias e serviços relacionados
96092,Atividades de serviços pessoais não especificadas anteriormente
97005,Serviços domésticos
99008,Organismos internacionais e outras instituições extraterritoriais
